HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.attention_check_prompt,Input.attention_check_response,Input.attention_check_amt_idx,Input.0_prompt,Input.0_response,Input.0_amt_idx,Input.1_prompt,Input.1_response,Input.1_amt_idx,Input.2_prompt,Input.2_response,Input.2_amt_idx,Input.3_prompt,Input.3_response,Input.3_amt_idx,Input.4_prompt,Input.4_response,Input.4_amt_idx,Input.5_prompt,Input.5_response,Input.5_amt_idx,Input.6_prompt,Input.6_response,Input.6_amt_idx,Input.8_prompt,Input.8_response,Input.8_amt_idx,Input.9_prompt,Input.9_response,Input.9_amt_idx,Input.10_prompt,Input.10_response,Input.10_amt_idx,Answer.0_amt_idx,Answer.0_appropriateness,Answer.0_humanlikeness,Answer.0_info-content,Answer.10_amt_idx,Answer.10_appropriateness,Answer.10_humanlikeness,Answer.10_info-content,Answer.1_amt_idx,Answer.1_appropriateness,Answer.1_humanlikeness,Answer.1_info-content,Answer.2_amt_idx,Answer.2_appropriateness,Answer.2_humanlikeness,Answer.2_info-content,Answer.3_amt_idx,Answer.3_appropriateness,Answer.3_humanlikeness,Answer.3_info-content,Answer.4_amt_idx,Answer.4_appropriateness,Answer.4_humanlikeness,Answer.4_info-content,Answer.5_amt_idx,Answer.5_appropriateness,Answer.5_humanlikeness,Answer.5_info-content,Answer.6_amt_idx,Answer.6_appropriateness,Answer.6_humanlikeness,Answer.6_info-content,Answer.8_amt_idx,Answer.8_appropriateness,Answer.8_humanlikeness,Answer.8_info-content,Answer.9_amt_idx,Answer.9_appropriateness,Answer.9_humanlikeness,Answer.9_info-content,Answer.attention_check_amt_idx,Answer.attention_check_appropriateness,Answer.attention_check_humanlikeness,Answer.attention_check_info-content,Answer.comment,Approve,Reject
363A7XIFV6EYHQ9HSVX2HQSX8PFVA0,3D9FS1R54K721L3H6V4K79ZX11V134,Annotate 11 prompt-response text items,The annotation task is to label responses to a given prompt. The prompt consists of two people (A and B) talking to each other. The response is the next utterance after the final utterance in the prompt.,"nlp,annotation,rating,text data,conversation,short,easy",$0.67 ,Thu Jun 23 06:44:28 PDT 2022,3,BatchId:4767004;OriginalHitTemplateId:920937340;,1500,259200,Thu Jun 30 06:44:28 PDT 2022,,,3U5NZHP4LUV38DIT2S3XG3LCZJWHP7,A3JYTT5ZHFKR7A,Submitted,Thu Jun 23 07:38:51 PDT 2022,Thu Jun 23 07:44:47 PDT 2022,Sun Jun 26 07:44:47 PDT 2022,,,,356,0% (0/0),0% (0/0),0% (0/0),This is an attention check. Please enter the same annotation values as the previous question,This is an attention check. Please enter the same annotation values as the previous question,40,A: Did you read this article?<br> B: What article?<br> A: It says the mayor spends only 11 percent of his time on city duties.,I'm not sure what you're getting at.,33,A: I want to get pancakes.<br> B: Are you crazy? It's 8:00 p.m.<br> A: Does it matter?,I love pancakes! What kind of pancakes do you like? I'm a big fan of pancakes myself.,34,"A: Hi, I'm here to apply for a library card.<br> B: Is this your first time applying for one?<br> A: It's my first time applying for a card here.",It's a long process but once you do it feels good to have a library card!,35,"A: Hello, this is Isabel Foster.<br> B: Hi, Isabel. Why are you calling? You can just come to my office.<br> A: I'm actually not in the office right now.","Ok you can call me anytime, you're not in office? well you can come over to my office!",36,A: Have you ever listened to AM radio? It's quite a different experience than the traditional news stations on TV and FM radio.<br> B: I don't remember the last time I listened to AM radio.,"It's kind of Old-School, but I think it's a great way to get news and information.",37,"A: Hey, what's that you're eating?<br> B: It's steamed rice cake. My grandma made it.<br> A: Does it taste good?",Not really but I didn't want my grandma to feel bad.,38,A: The ocean is so big.<br> B: You can't see the end of it.<br> A: It goes on and on forever.,And on and on and on and on and on and on and on and on and on and on,39,A: Welcome to Sarah's Sandwiches!<br> B: Hi! I don't know where to start.<br> A: Let's start with the bread.,Okay.,41,"A: Hello, is this the Smith residence?<br> B: David! Clean your room. It's filthy!<br> A: It's not so bad, mom.","No, it's not.",42,A: The house down the street is on fire!<br> B: How do you know?<br> A: There is smoke coming up from the house!,"Well maybe it's a fire pit out back, let's go see!",43,33,2,3,1,43,3,4,5,34,3,5,5,35,4,4,3,36,1,2,1,37,5,5,4,38,5,5,5,39,1,1,1,41,5,5,3,42,1,1,1,40,1,1,1,{},,
3DZKABX2ZKXMA56FC9TTNLIL8S0VC2,3D9FS1R54K721L3H6V4K79ZX11V134,Annotate 11 prompt-response text items,The annotation task is to label responses to a given prompt. The prompt consists of two people (A and B) talking to each other. The response is the next utterance after the final utterance in the prompt.,"nlp,annotation,rating,text data,conversation,short,easy",$0.67 ,Thu Jun 23 06:44:29 PDT 2022,3,BatchId:4767004;OriginalHitTemplateId:920937340;,1500,259200,Thu Jun 30 06:44:29 PDT 2022,,,3EO896NRAZOXRB6Q79F2XQ2O1D5TJB,A3GWRDHAURRNK6,Submitted,Thu Jun 23 07:02:15 PDT 2022,Thu Jun 23 07:06:54 PDT 2022,Sun Jun 26 07:06:54 PDT 2022,,,,279,0% (0/0),0% (0/0),0% (0/0),This is an attention check. Please enter the same annotation values as the previous question,This is an attention check. Please enter the same annotation values as the previous question,106,"A: I need a cheap car.<br> B: How much money do you have?<br> A: $1,000.",What kind of car are you looking for? What kind of mileage do you want it to have?,99,A: How much is that one?<br> B: It's two hundred and eighty dollars.,"Wow, that is really expensive for a sticker. I was expecting like 100. I am in the UK so that might be why I don't pay that much.",100,"A: Dad, I don't have my own car.<br> B: Your mom and I talked to you about this.<br> A: I wasn't paying attention.",what does that have to do with it,101,A: I have an extra ticket to the Beyonce concert on Friday.<br> B: That's nice.<br> A: I was wondering if you want to come with me?,I'm already going on Friday with friends but thank for the offer.,102,"A: Look! Mom, that's amazing! I can't believe the girls have so neat movements.<br> B: Yeah, they all received very strict training. A: minute on the stage takes ten-year practice.",Wow that's intense. I hope they love performing and getting paid to do it!,103,"A: Have you ever been to the opera before?<br> B: No, but I hear it's very beautiful.<br> A: Is it true that opera is sung in a foreign language?","I'm not sure, but I do know that the word opera was first recorded in the 10th century.",104,A: I have to go to the bathroom.<br> B: You drink too much coffee.<br> A: But I love coffee.,You drink too much coffee.,105,"A: I need to stop payment on a check that I wrote.<br> B: Do you have a copy of the check you wrote?<br> A: Yes, I was able to get a digital copy online.",That's not how it works.,107,A: How much per night are we talking about?<br> B: Each night will be $308.,"Yeah, that's really high. I would definitely look into finding another place. I'm not sure how it is where you are from, but in my area the cheapest is $44 per person.",108,"A: Do you have a cold?<br> B: Yes, I do.<br> A: How did you get it?",I just got it from being around other people at work.,109,99,5,5,4,109,5,5,3,100,4,5,5,101,4,5,3,102,4,4,4,103,5,5,5,104,3,5,4,105,2,5,1,107,3,5,3,108,3,3,5,106,2,5,1,{},,
3LVTFB9DE7A7M9Q3SWV27P4SPSDQGD,3D9FS1R54K721L3H6V4K79ZX11V134,Annotate 11 prompt-response text items,The annotation task is to label responses to a given prompt. The prompt consists of two people (A and B) talking to each other. The response is the next utterance after the final utterance in the prompt.,"nlp,annotation,rating,text data,conversation,short,easy",$0.67 ,Thu Jun 23 06:44:29 PDT 2022,3,BatchId:4767004;OriginalHitTemplateId:920937340;,1500,259200,Thu Jun 30 06:44:29 PDT 2022,,,3K772S5NPB4ZBMT3TENMMRM8LFNHEL,AYJGQBBK6KXZ7,Submitted,Thu Jun 23 11:55:38 PDT 2022,Thu Jun 23 11:59:17 PDT 2022,Sun Jun 26 11:59:17 PDT 2022,,,,219,0% (0/0),0% (0/0),0% (0/0),This is an attention check. Please enter the same annotation values as the previous question,This is an attention check. Please enter the same annotation values as the previous question,128,"A: I love playing all of these old fashioned games!<br> B: Me, too! Too bad it's so expensive.<br> A: I wish they'd cost nickels instead of quarters.",Those days are long gone.,121,A: Driving is so bad for the environment.<br> B: We should carpool.<br> A: That is a smart idea!,We can save money and help the environment.,122,A: You in the green shirt!<br> B: Are you talking to me?<br> A: You're the only one here in a green shirt.,What do you want?,123,A: I just missed my bus!<br> B: Oh no! What are you going to do?<br> A: I don't know! The next one comes in ten minutes!,Oh no !,124,"A: Poetry sucks.<br> B: I don't know anyone who likes it.<br> A: Some of it is okay, I guess.",I don't know anyone who likes it.,125,A: I have a date with an amazing girl tomorrow.<br> B: How did you meet her?<br> A: I bumped into her on the street.,"Oh wow, how did that go? Did you end up talking to her for a long time?",126,A: Good morning. How are you today?<br> B: I'm doing well. Thank you.<br> A: Are you here for our workshop today?,"I am not, but I wish I was. I love workshops. What is it about?",127,A: Let's discuss the security deposit.<br> B: Do you have the full amount for the deposit?<br> A: I think I do. How much was it again?,It was $500.,129,A: The first thing you want to do is fasten your seat belt.<br> B: Check. What's next?<br> A: Check your mirrors and make sure you can see behind you.,Gotcha. So I'd better not look behind me,130,A: You're watching too much TV.<br> B: What do you mean?<br> A: I mean you're wasting your life.,I don't watch TV.,131,121,5,5,5,131,4,3,3,122,5,5,5,123,5,5,5,124,1,3,1,125,1,3,1,126,5,5,5,127,5,5,5,129,5,5,5,130,5,5,5,128,5,5,5,{},,
3TUOHPJXYJPNSSHFTFUCN0M9GJQXWG,3D9FS1R54K721L3H6V4K79ZX11V134,Annotate 11 prompt-response text items,The annotation task is to label responses to a given prompt. The prompt consists of two people (A and B) talking to each other. The response is the next utterance after the final utterance in the prompt.,"nlp,annotation,rating,text data,conversation,short,easy",$0.67 ,Thu Jun 23 06:44:29 PDT 2022,3,BatchId:4767004;OriginalHitTemplateId:920937340;,1500,259200,Thu Jun 30 06:44:29 PDT 2022,,,3SKRO2GZ74KRTB0ZNBV4SZJ6OJGK1U,A3GWRDHAURRNK6,Submitted,Thu Jun 23 07:06:54 PDT 2022,Thu Jun 23 07:22:16 PDT 2022,Sun Jun 26 07:22:16 PDT 2022,,,,922,0% (0/0),0% (0/0),0% (0/0),This is an attention check. Please enter the same annotation values as the previous question,This is an attention check. Please enter the same annotation values as the previous question,161,A: Beer is a powerful drug.<br> B: So are cigarettes.<br> A: Which would you prefer?,I'm not a smoker.,154,"A: Boy, it's chilly outside, isn't it?<br> B: It sure is.<br> A: In fact, it's chilly in the apartment, too.",Do you have a heater you can turn on? Or do you just have to wait it out?,155,A: You were a cute child.<br> B: How would you know?<br> A: Your mom posted your baby pictures on Facebook.,So?,156,A: I had a busy morning.<br> B: What did you do?<br> A: I watered all the plants.,I'm sorry to hear that. I hope you had a good day. What did you do?,157,A: I like this hotel.<br> B: What do you like about it?<br> A: We get a free breakfast.,That's cool. free breakfast is always nice.,158,"A: Can I help you, Sir?<br> B: Hello, may I make an appointment for sometime early this afternoon?<br> A: I'm sorry. All the appointments are filled.",I'd love some help.,159,"A: Wake up, it's time for school.","Ugh, 5 more minutes.",160,A: I'm in love with that girl.<br> B: Have you told her?<br> A: Of course not.,I am sorry to hear that. What is it about her that makes you love her so much?,162,"A: Hello, my name is Sally. I am hoping you could help me.<br> B: Of course I can, that's what I'm here for.<br> A: I want to look for a job, but I don't have Internet access at home.","Sure, I can help you. What do you need help with?",163,A: Lunch was delicious.<br> B: Thank you.<br> A: What kind of soup was that?,It was a black bean soup.,164,154,4,5,3,164,5,5,3,155,5,5,4,156,1,5,1,157,1,3,3,158,5,5,3,159,3,5,3,160,5,5,3,162,4,5,4,163,2,5,3,161,5,5,3,{},,
3QQUBC64ZG6X5Y811E3PRH9IN7MNXF,3D9FS1R54K721L3H6V4K79ZX11V134,Annotate 11 prompt-response text items,The annotation task is to label responses to a given prompt. The prompt consists of two people (A and B) talking to each other. The response is the next utterance after the final utterance in the prompt.,"nlp,annotation,rating,text data,conversation,short,easy",$0.67 ,Thu Jun 23 06:44:29 PDT 2022,3,BatchId:4767004;OriginalHitTemplateId:920937340;,1500,259200,Thu Jun 30 06:44:29 PDT 2022,,,3OUYGIZWRARSXDCX4KWCABMVD5QP0F,AYJGQBBK6KXZ7,Submitted,Thu Jun 23 11:59:18 PDT 2022,Thu Jun 23 12:02:19 PDT 2022,Sun Jun 26 12:02:19 PDT 2022,,,,181,0% (0/0),0% (0/0),0% (0/0),This is an attention check. Please enter the same annotation values as the previous question,This is an attention check. Please enter the same annotation values as the previous question,194,"A: Did you hear about Joseph and Michelle?<br> B: No, what happened? Did they have a divorce?<br> A: Oh, no. They are pregnant.","No, I didn't hear about that. What happened?",187,A: Why are you taking pictures of yourself?<br> B: I need a profile picture.<br> A: Just use any picture.,"That's what I was thinking, but I don't want it to come back and bite me in the ass.",188,A: I really like this house.<br> B: Can we afford it?<br> A: They want 20 percent down.,I don't have that kind of money. I guess I'll have to find a different place to live.,189,A: I think I stepped on a snail.<br> B: Did you feel something crunch under your shoes?<br> A: Yes. It feels disgusting.,At least it wasn't a nail.,190,"A: Your luggage is two pounds over. I'm afraid They'll be in excess luggage charge, Sir.<br> B: How much must I pay?<br> A: It's ten yuan.<br> B: Here you are.<br> A: This is your luggage check Which You must show when you disembark at your destination and here is your boarding pass and your ticket.",Thank you very much.,191,A: Give me your lunch money.<br> B: Stop it or you will be sorry.<br> A: Are you arguing with me?,"No, I'm agreeing with you. Sorry if it came off that way. I was just adding to what you said.",192,"A: Do you go to college?<br> B: Yes, I do.<br> A: What college do you go to?",I go to the University of Illinois at Urbana-Champaign.,193,A: My ear is killing me.<br> B: What's the matter?<br> A: I was on a plane.,have you tried chewing gum?,195,"A: I'm checking in.<br> B: What name is the reservation under?<br> A: It is under my name, Michael Roberts.",I'm not seeing it.,196,"A: I like the sound of that.<br> B: Yes, that is today's sale price.",That's not how sale prices work.,197,187,2,3,1,197,4,5,4,188,5,5,5,189,5,5,5,190,4,5,4,191,5,5,5,192,4,5,4,193,5,5,5,195,4,5,4,196,5,5,5,194,5,5,5,{},,
371DNNCG46U5LACDQ2D9KHYHLGZT8E,3D9FS1R54K721L3H6V4K79ZX11V134,Annotate 11 prompt-response text items,The annotation task is to label responses to a given prompt. The prompt consists of two people (A and B) talking to each other. The response is the next utterance after the final utterance in the prompt.,"nlp,annotation,rating,text data,conversation,short,easy",$0.67 ,Thu Jun 23 06:44:29 PDT 2022,3,BatchId:4767004;OriginalHitTemplateId:920937340;,1500,259200,Thu Jun 30 06:44:29 PDT 2022,,,3RANCT1ZVIA695N3JMSV4Y5DCMZUBE,A3GWRDHAURRNK6,Submitted,Thu Jun 23 06:54:25 PDT 2022,Thu Jun 23 06:58:08 PDT 2022,Sun Jun 26 06:58:08 PDT 2022,,,,223,0% (0/0),0% (0/0),0% (0/0),This is an attention check. Please enter the same annotation values as the previous question,This is an attention check. Please enter the same annotation values as the previous question,205,"A: So, how much is the ticket going to cost?<br> B: Well, it's going to be $200.<br> A: $200 for a parking ticket?","I'm not sure yet, but I think it's going to be around $200. I'll have to check.",198,"A: Sir, is this your car?<br> B: Yes, are you giving me a ticket?<br> A: Unfortunately, yes, I am. Read the sign.","No, I don't have a car.",199,A: Shall we drop in somewhere for a couple of drinks?<br> B: That sounds like a good idea.,"Yeah, I think it will be a lot of fun. I'm really looking forward to it.",200,A: Did you hear what happened to Marie?<br> B: I have no idea what happened. Is she okay?<br> A: She's devastated. Marie and her fiancé called the wedding off.,Oh no! I'm so sorry to hear that. I hope she can find a way to move forward.,201,"A: What if I don't want to find another girl?<br> B: You'll change your mind. Look at everyone in the world. They all break up and move on. The faster you understand this, the quicker you will recover.",I don't want to think about it now,202,A: You have pretty eyes.<br> B: Thank you. So do you.<br> A: I wish my eyes were blue.,"Thank you, that's very kind of you to say.",203,"A: Excuse me!<br> B: Yes, how can I help you?<br> A: I can't find the muni bus I'm looking for.",What's a Muni bus?,204,"A: Do you get PBS on TV?<br> B: Yes, everybody gets the Public Broadcasting System.<br> A: It puts me to sleep.",I'm sorry.,206,"A: I've never taken the bus before.<br> B: This is your first time? Wow, that's surprising.<br> A: How is it surprising?","Most people take the bus daily, so I would think that you have ridden the bus before",207,"A: Hey, Richard, I could sure use your help.<br> B: What is it, Jerry?<br> A: I can't seem to land an interview.",Have you tried networking?,208,198,3,5,2,208,5,5,3,199,1,5,2,200,3,5,4,201,5,5,4,202,5,5,3,203,1,5,2,204,5,5,2,206,3,5,2,207,4,5,4,205,5,5,2,{},,
3T8DUCXY0PY5ZFVNVUJNKDTS5MHT93,3D9FS1R54K721L3H6V4K79ZX11V134,Annotate 11 prompt-response text items,The annotation task is to label responses to a given prompt. The prompt consists of two people (A and B) talking to each other. The response is the next utterance after the final utterance in the prompt.,"nlp,annotation,rating,text data,conversation,short,easy",$0.67 ,Thu Jun 23 06:44:29 PDT 2022,3,BatchId:4767004;OriginalHitTemplateId:920937340;,1500,259200,Thu Jun 30 06:44:29 PDT 2022,,,3PB5A5BD0YZ02BJIM0RYVHIQKOX7G9,A2ZLJQWCM8KU36,Submitted,Thu Jun 23 07:01:12 PDT 2022,Thu Jun 23 07:08:32 PDT 2022,Sun Jun 26 07:08:32 PDT 2022,,,,440,0% (0/0),0% (0/0),0% (0/0),This is an attention check. Please enter the same annotation values as the previous question,This is an attention check. Please enter the same annotation values as the previous question,249,"A: Mr. Smith, please.<br> B: Sorry, he is out.","No big deal, I was hoping he was in.",242,A: No. I am a transit passenger going to Sweden.<br> B: How long are you going to stay here?,Only one night.,243,"A: Me? No way, keep him away from me, please.<br> B: Why are you acting so strange today?",I don't know. Maybe it's because it's the weekend and I have nothing to do.,244,A: Are you ready?<br> B: Ready for what?<br> A: Ready for the big switch.,"Yes, I am. I have been waiting for this day for a long time. I am so excited.",245,A: The boss wanted to pay Bob with stock options. But Bob didn't want to play that game again.<br> B: Again?,"That's right, even though I did set the alarm last night.",246,A: Tiger is the greatest golfer in the world.<br> B: You can say that again.<br> A: But I’m worried about Tiger.,I agree. He is the best golfer of all time.,247,"A: Greetings, neighbor. How's it going?<br> B: Hello to you! It's going just fine. Welcome to the neighborhood.<br> A: Thank you. How long have you been living here?",I moved in about a month ago.,248,A: I can't wait until I graduate.<br> B: Me too.<br> A: No more homework.,Homework is such a pain in the ass. I'm glad I don't have to do it anymore.,250,"A: Boy, I'm glad that job is finished.<br> B: How long did it take?<br> A: Four hours, without a break.",I'm sorry to hear that.,251,A: I'm on a new diet.<br> B: What are you eating now?<br> A: I switched from pasta to potatoes.,I'm on a new diet.,252,242,5,5,4,252,1,1,1,243,5,5,5,244,4,5,5,245,5,5,5,246,1,1,1,247,2,2,1,248,5,5,5,250,2,3,2,251,3,2,2,249,5,5,5,"None, but thank you for the task.",,
3T8DUCXY0PY5ZFVNVUJNKDTS5MHT93,3D9FS1R54K721L3H6V4K79ZX11V134,Annotate 11 prompt-response text items,The annotation task is to label responses to a given prompt. The prompt consists of two people (A and B) talking to each other. The response is the next utterance after the final utterance in the prompt.,"nlp,annotation,rating,text data,conversation,short,easy",$0.67 ,Thu Jun 23 06:44:29 PDT 2022,3,BatchId:4767004;OriginalHitTemplateId:920937340;,1500,259200,Thu Jun 30 06:44:29 PDT 2022,,,3HHRAGRYXBYS87O9PG2QEMIY61V9OV,A3JYTT5ZHFKR7A,Submitted,Thu Jun 23 07:44:56 PDT 2022,Thu Jun 23 07:50:24 PDT 2022,Sun Jun 26 07:50:24 PDT 2022,,,,328,0% (0/0),0% (0/0),0% (0/0),This is an attention check. Please enter the same annotation values as the previous question,This is an attention check. Please enter the same annotation values as the previous question,249,"A: Mr. Smith, please.<br> B: Sorry, he is out.","No big deal, I was hoping he was in.",242,A: No. I am a transit passenger going to Sweden.<br> B: How long are you going to stay here?,Only one night.,243,"A: Me? No way, keep him away from me, please.<br> B: Why are you acting so strange today?",I don't know. Maybe it's because it's the weekend and I have nothing to do.,244,A: Are you ready?<br> B: Ready for what?<br> A: Ready for the big switch.,"Yes, I am. I have been waiting for this day for a long time. I am so excited.",245,A: The boss wanted to pay Bob with stock options. But Bob didn't want to play that game again.<br> B: Again?,"That's right, even though I did set the alarm last night.",246,A: Tiger is the greatest golfer in the world.<br> B: You can say that again.<br> A: But I’m worried about Tiger.,I agree. He is the best golfer of all time.,247,"A: Greetings, neighbor. How's it going?<br> B: Hello to you! It's going just fine. Welcome to the neighborhood.<br> A: Thank you. How long have you been living here?",I moved in about a month ago.,248,A: I can't wait until I graduate.<br> B: Me too.<br> A: No more homework.,Homework is such a pain in the ass. I'm glad I don't have to do it anymore.,250,"A: Boy, I'm glad that job is finished.<br> B: How long did it take?<br> A: Four hours, without a break.",I'm sorry to hear that.,251,A: I'm on a new diet.<br> B: What are you eating now?<br> A: I switched from pasta to potatoes.,I'm on a new diet.,252,242,5,5,4,252,1,1,1,243,5,5,4,244,4,5,5,245,5,5,5,246,1,1,1,247,1,2,1,248,5,5,4,250,2,4,3,251,1,3,2,249,5,5,4,{},,
3ZXNP4Z39TDD2JZP7OJCKQS5GJ7L7G,3D9FS1R54K721L3H6V4K79ZX11V134,Annotate 11 prompt-response text items,The annotation task is to label responses to a given prompt. The prompt consists of two people (A and B) talking to each other. The response is the next utterance after the final utterance in the prompt.,"nlp,annotation,rating,text data,conversation,short,easy",$0.67 ,Thu Jun 23 06:44:29 PDT 2022,3,BatchId:4767004;OriginalHitTemplateId:920937340;,1500,259200,Thu Jun 30 06:44:29 PDT 2022,,,3SB4CE2TJYOT7ZC6ID3MTUKBOQ6AXA,AYJGQBBK6KXZ7,Submitted,Thu Jun 23 11:52:24 PDT 2022,Thu Jun 23 11:55:38 PDT 2022,Sun Jun 26 11:55:38 PDT 2022,,,,194,0% (0/0),0% (0/0),0% (0/0),This is an attention check. Please enter the same annotation values as the previous question,This is an attention check. Please enter the same annotation values as the previous question,260,"A: Would you like to try our new item for free?<br> B: If it's free, then of course.<br> A: Great! Here it is.","Wow, it really is free. Thank you",253,"A: This position demands a higher writing ability, so please say something about your writing ability.","I don't know much about writing, but I do know that I'm not very good at it.",254,"A: I need to get on another bus, but I have no more money.<br> B: Where'd the rest of your money for the bus go?<br> A: I spent it on a bag of chips.<br> B: Well, that was an intelligent thing to do.",You don't have any spare change?,255,A: Why do you have so many full trash bags?<br> B: I had a party last night. I'm cleaning up now and tossing them away.<br> A: Wait! What are you doing?,Taking them all to a garbage disposal company. The smell is awful.,256,A: Will you go out with me?<br> B: I think I'll pass.<br> A: Why are you rejecting me?,I'm sorry to hear that. I'm sure there is a good reason. What is it?,257,"A: Help! I need the doctor immediately.<br> B: What is the problem, sir?<br> A: I think my wife had a stroke.","Oh no, I'm so sorry to hear that. I hope she recovers quickly.",258,A: I have a date tomorrow night.<br> B: Really? Who with?<br> A: A: girl I met at the market.,Way to go!,259,A: I need to report a robbery.<br> B: Who was robbed?<br> A: I was robbed.,When did this happen?,261,"A: My brother smokes three packs a day.<br> B: Three packs of what?<br> A: Cigarettes, of course.",Is that a lot?,262,A: I had a busy morning.<br> B: What did you do?<br> A: I watered all the plants.,What did you have for breakfast?,263,253,5,4,5,263,3,4,3,254,3,5,3,255,5,5,5,256,5,5,5,257,2,2,2,258,3,4,3,259,4,5,4,261,5,5,5,262,4,4,4,260,4,5,4,{},,
3VGZ74AYTI83S8GKNEU7NKFBLDCGCY,3D9FS1R54K721L3H6V4K79ZX11V134,Annotate 11 prompt-response text items,The annotation task is to label responses to a given prompt. The prompt consists of two people (A and B) talking to each other. The response is the next utterance after the final utterance in the prompt.,"nlp,annotation,rating,text data,conversation,short,easy",$0.67 ,Thu Jun 23 06:44:29 PDT 2022,3,BatchId:4767004;OriginalHitTemplateId:920937340;,1500,259200,Thu Jun 30 06:44:29 PDT 2022,,,39N5ACM9HHGAT70A4GF53MNOG56P95,A3GWRDHAURRNK6,Submitted,Thu Jun 23 06:58:08 PDT 2022,Thu Jun 23 07:02:15 PDT 2022,Sun Jun 26 07:02:15 PDT 2022,,,,247,0% (0/0),0% (0/0),0% (0/0),This is an attention check. Please enter the same annotation values as the previous question,This is an attention check. Please enter the same annotation values as the previous question,271,"A: How are you?<br> B: I'm doing well. How are you?<br> A: I'm fine, thanks. I was wondering if you read my report.","I read the report, but I don't really know how to reply to it. How are you?",264,"A: What are you going to do about your death?<br> B: Well, mostly I'll try to avoid it.<br> A: I mean, are you going to get buried or cremated?",I'm not sure. I don't know what I want to do with my life.,265,A: Thank you for coming so quickly.<br> B: What seems to be the problem?<br> A: All the channels suddenly stopped working.,I'm so glad you enjoyed it. Thank you so much for your kind words. I really appreciate it.,266,"A: I think you're really pretty.<br> B: Thanks, that's nice of you to say.<br> A: Will you go out with me?","Thank you, I appreciate that.",267,A: Where are you going?<br> B: I'm going to buy some flowers for Valentine's Day.<br> A: Who are the flowers for?,They are for my grandmother. She is in a nursing home and I miss her a lot.,268,"A: Do you know why I stopped you?<br> B: No, officer. Why?<br> A: You failed to stop at the stop sign.","I'll take that, officer I will not be stopping at stop signs",269,A: I don't have long distance service with my home phone.<br> B: So how do you make long distance calls?<br> A: I use a calling card.,That seems like such an old-fashioned way to do things.,270,"A: I have five classes and 40 hours of work weekly.<br> B: Your life is so stressful.<br> A: Sadly, it is.",I'm sorry to hear that. What do you do for a living? Do you have a job?,272,A: My back is killing me.<br> B: What did you do?<br> A: I got out of my car.,That must have been a relief. Did you have to wait a long time for a parking spot?,273,"A: Good afternoon. Can I be of service?<br> B: I don't know. Can I purchase Treasury Certificates here at this counter?<br> A: Yes, of course. We have Treasury Notes with two, three and five-year terms available.<br> B: Two years is fine, with a value of 1,000 RIB.<br> A: OK, could I take a look at some ID please, like a passport?<br> B: Here you go. By the way, is it possible to cash them before the maturity comes up?","I'm not sure, but I don't think so. I think you have to wait until they are 18.",274,264,3,4,3,274,2,4,3,265,2,5,3,266,1,5,3,267,3,5,2,268,5,5,5,269,1,3,3,270,5,5,3,272,3,5,3,273,1,5,4,271,5,5,3,{},,
