,1_0,1_1,2_0,2_1,3_0,3_1,4_0,4_1,5_0,5_1,6_0,6_1
0,2.0,2,2,3,2.0,1.0,2,1,2,3,3,3
1,5.0,5,4,5,4.0,5.0,5,5,5,5,5,5
2,4.0,4,3,3,4.0,5.0,4,4,5,5,5,5
3,4.0,5,4,4,4.0,4.0,3,3,2,2,4,4
4,4.0,3,5,4,4.0,5.0,5,5,2,3,5,5
5,1.0,2,1,2,2.0,1.0,1,1,2,2,3,3
6,5.0,5,5,5,4.0,5.0,5,5,2,3,3,3
7,4.0,4,2,5,4.0,5.0,5,5,4,5,5,5
8,2.0,2,1,1,4.0,2.0,3,1,5,5,5,5
9,5.0,5,5,5,4.0,5.0,5,5,2,3,5,5
10,3.0,4,4,4,4.0,5.0,4,2,5,5,5,5
11,3.0,3,4,5,2.0,2.0,4,2,3,2,2,2
12,3.0,2,3,3,4.0,2.0,3,1,5,5,5,5
13,4.0,5,4,5,4.0,5.0,5,4,5,5,5,5
14,5.0,5,5,5,4.0,5.0,5,5,5,5,5,5
15,2.0,4,5,3,4.0,2.0,5,5,1,2,4,4
16,1.0,1,1,2,4.0,5.0,2,1,5,5,5,5
17,5.0,1,2,3,3.0,5.0,5,5,5,5,4,4
18,5.0,5,5,5,4.0,5.0,5,5,5,5,5,5
19,5.0,5,5,5,5.0,5.0,5,5,2,3,3,3
20,5.0,3,3,5,5.0,5.0,5,4,1,1,1,1
21,4.0,2,2,3,4.0,4.0,3,5,3,2,4,4
22,5.0,5,4,5,5.0,5.0,5,4,5,5,5,5
23,2.0,2,1,1,4.0,1.0,2,1,2,4,5,5
24,5.0,5,4,5,5.0,5.0,5,2,5,5,5,5
25,2.0,2,1,1,3.0,1.0,2,1,4,5,5,5
26,5.0,2,1,1,3.0,2.0,3,1,2,4,3,3
27,4.0,2,1,3,2.0,2.0,3,2,2,2,5,5
28,2.0,2,1,1,4.0,1.0,2,1,5,5,5,5
29,2.0,2,1,1,5.0,2.0,4,1,5,5,5,5
30,5.0,5,5,5,2.0,5.0,5,5,5,4,3,3
31,2.0,2,1,3,3.0,4.0,5,5,3,2,1,1
32,4.0,5,5,5,4.0,5.0,5,4,4,5,4,4
33,1.0,1,1,1,2.0,1.0,1,1,3,2,4,4
34,5.0,5,5,5,4.0,2.0,5,5,5,5,5,5
35,3.0,2,2,5,2.0,4.0,3,2,5,5,5,5
36,5.0,5,4,5,5.0,5.0,5,5,5,3,2,2
37,5.0,5,3,2,5.0,5.0,5,4,5,5,4,4
38,3.0,2,5,2,4.0,5.0,5,4,3,2,3,3
39,3.0,4,5,5,5.0,5.0,4,5,5,4,5,5
40,4.0,3,5,5,2.0,5.0,5,4,5,4,4,4
41,1.0,1,1,1,2.0,1.0,1,1,5,5,5,5
42,2.0,2,1,1,3.0,5.0,4,2,5,5,4,4
43,2.0,3,2,1,2.0,4.0,5,4,5,5,5,5
44,5.0,5,5,5,4.0,5.0,5,5,5,4,5,5
45,2.0,2,1,1,3.0,2.0,2,2,1,3,3,3
46,4.0,5,5,5,4.0,4.0,3,3,2,2,1,1
47,5.0,2,4,2,5.0,2.0,5,2,5,5,4,4
48,1.0,1,1,1,2.0,1.0,1,1,5,5,5,5
49,2.0,2,4,2,4.0,2.0,3,2,5,4,5,5
